aX,aY,aZ,gX,gY,gZ,label
-1.229,0.929,0.370,-5.859,-23.926,49.561,0
-1.400,0.941,0.379,-11.169,-36.804,29.846,0
-1.363,0.946,0.373,-10.986,-45.532,11.292,0
-1.299,0.922,0.342,-14.160,-56.274,0.427,0
-1.182,0.837,0.269,-18.799,-56.091,-23.254,0
-1.020,0.808,0.205,-21.912,-58.838,-46.997,0
-0.857,0.770,0.124,-23.071,-65.002,-64.575,0
-0.708,0.745,0.064,-22.217,-63.843,-79.468,0
-0.571,0.740,0.010,-20.569,-59.204,-92.529,0
-0.506,0.746,-0.022,-16.418,-59.448,-99.426,0
-0.434,0.744,-0.030,-11.169,-65.491,-103.943,0
-0.354,0.734,-0.023,-10.498,-67.444,-109.619,0
-0.272,0.733,-0.032,-13.000,-65.063,-111.633,0
-0.224,0.747,-0.117,-19.287,-56.885,-115.234,0
-0.139,0.755,-0.222,-15.381,-53.040,-119.568,0
0.014,0.791,-0.259,-3.052,-61.157,-120.972,0
0.003,0.781,-0.198,10.315,-81.055,-113.953,0
0.028,0.758,-0.079,15.259,-76.721,-118.286,0
0.216,0.789,-0.101,6.042,-49.988,-124.268,0
0.337,0.861,-0.224,2.808,-35.156,-126.526,0
0.562,0.861,-0.242,10.254,-36.926,-123.657,0
0.678,0.810,-0.186,19.836,-40.527,-106.873,0
0.850,0.823,-0.133,23.682,-24.658,-90.820,0
0.962,0.880,-0.130,21.912,-3.113,-70.923,0
1.081,0.932,-0.179,20.691,5.920,-49.683,0
1.182,0.935,-0.142,24.414,0.916,-25.146,0
1.173,0.914,-0.071,27.710,0.916,2.625,0
1.130,0.930,-0.026,27.222,7.324,31.982,0
0.975,0.923,0.025,24.109,10.559,43.823,0
0.849,0.929,0.045,18.982,16.602,62.500,0
0.656,0.929,0.032,14.221,23.010,78.003,0
0.523,0.910,0.006,13.367,31.860,86.304,0
0.420,0.885,-0.002,14.099,42.786,93.567,0
0.322,0.849,0.050,13.245,51.147,103.699,0
0.257,0.860,0.064,10.681,51.819,109.314,0
0.059,0.811,-0.017,6.226,61.707,113.831,0
0.076,0.873,-0.062,3.845,64.209,101.624,0
0.010,0.826,-0.073,7.019,71.167,101.379,0
-0.106,0.776,-0.054,18.311,70.251,104.370,0
-0.116,0.822,0.058,27.527,51.025,106.812,0
-0.161,0.767,0.086,18.372,46.265,109.253,0
-0.208,0.754,0.082,15.381,42.786,115.662,0
-0.411,0.775,0.061,16.846,40.344,115.540,0
-0.527,0.796,0.080,17.029,44.006,96.985,0
-0.577,0.833,0.175,18.677,52.124,84.961,0
-0.553,0.841,0.255,13.245,65.857,75.928,0
-0.508,0.870,0.220,4.150,71.045,82.397,0
-0.707,0.869,0.226,-4.578,57.434,83.069,0
-0.880,0.894,0.216,-6.165,34.424,84.839,0
-1.033,0.905,0.277,0.610,10.864,82.458,0
-1.158,0.904,0.339,-3.357,8.972,74.402,0
-1.159,0.913,0.347,-6.348,-10.254,57.739,0
-1.282,0.905,0.341,-5.493,-29.602,56.030,0
-1.302,0.888,0.365,-7.812,-50.293,33.508,0
-1.310,0.843,0.369,-14.832,-67.566,5.371,0
-1.233,0.838,0.270,-27.405,-51.331,-23.010,0
-1.137,0.807,0.152,-29.907,-45.837,-47.302,0
-0.969,0.760,0.118,-28.442,-46.631,-67.871,0
-0.850,0.740,0.090,-27.527,-45.654,-83.252,0
-0.708,0.713,0.046,-26.001,-51.941,-97.595,0
-0.559,0.706,0.017,-22.766,-56.091,-109.131,0
-0.471,0.705,-0.025,-21.667,-46.448,-118.042,0
-0.353,0.713,-0.072,-20.813,-37.781,-128.845,0
-0.214,0.724,-0.113,-19.104,-35.034,-133.667,0
-0.084,0.739,-0.152,-12.817,-42.847,-134.399,0
0.017,0.762,-0.152,-7.629,-47.119,-134.949,0
0.168,0.754,-0.169,-8.606,-50.842,-132.874,0
0.238,0.765,-0.217,-9.338,-47.546,-128.235,0
0.342,0.823,-0.269,-5.676,-42.969,-124.329,0
0.445,0.851,-0.331,0.854,-39.368,-118.530,0
0.469,0.858,-0.330,10.986,-41.199,-110.962,0
0.562,0.869,-0.322,16.052,-38.025,-104.980,0
0.706,0.862,-0.283,25.330,-32.227,-99.915,0
0.849,0.864,-0.164,29.663,-27.039,-83.191,0
0.912,0.892,-0.153,22.644,-14.038,-62.134,0
0.970,0.947,-0.220,17.578,-15.930,-38.757,0
0.975,0.961,-0.251,20.447,-13.245,-18.433,0
1.001,0.948,-0.197,26.306,-5.676,-0.183,0
0.953,0.923,-0.083,28.259,3.540,20.691,0
0.855,0.909,-0.047,19.897,17.456,39.551,0
0.764,0.916,-0.100,14.771,21.057,55.054,0
0.627,0.895,-0.134,15.869,23.437,68.054,0
0.578,0.898,-0.122,21.790,27.161,76.172,0
0.532,0.898,-0.106,24.719,26.672,89.478,0
0.399,0.865,-0.069,28.442,34.058,93.811,0
0.326,0.853,-0.029,22.644,46.021,93.994,0
0.262,0.828,-0.003,15.625,56.030,99.731,0
-0.005,0.795,-0.030,15.198,52.917,110.718,0
-0.087,0.866,-0.036,26.001,37.598,106.323,0
-0.109,0.845,-0.005,26.917,39.856,94.299,0
-0.078,0.831,0.049,25.452,74.036,88.867,0
-0.094,0.825,0.097,25.146,78.369,107.544,0
-0.322,0.810,0.141,25.513,57.800,106.934,0
-0.453,0.851,0.170,27.344,5.615,111.938,0
-0.536,0.848,0.163,23.315,-18.494,105.774,0
-0.403,0.831,0.076,12.390,22.034,78.857,0
-0.275,0.844,0.059,9.155,73.669,63.354,0
-0.426,0.863,0.106,15.015,80.811,70.496,0
-0.508,0.859,0.156,22.400,47.668,74.585,0
-0.581,0.881,0.244,20.630,25.635,74.280,0
-0.685,0.868,0.267,13.794,11.963,67.627,0
-0.728,0.905,0.286,7.324,37.354,54.260,0
-0.807,0.956,0.319,0.000,35.706,43.457,0
-0.918,0.918,0.311,-2.319,3.479,42.053,0
-1.097,0.938,0.372,3.052,-22.400,44.800,0
-1.148,0.929,0.375,-6.104,-23.254,30.640,0
-1.198,0.896,0.372,-9.644,-20.081,21.057,0
-1.174,0.907,0.338,-20.325,-13.977,-2.747,0
-1.043,0.898,0.264,-25.452,-15.381,-23.254,0
-0.951,0.864,0.221,-28.137,-11.169,-37.292,0
-0.817,0.827,0.190,-31.006,-12.817,-50.598,0
-0.717,0.811,0.184,-34.668,-26.733,-59.998,0
-0.627,0.807,0.120,-39.490,-32.715,-66.467,0
-0.535,0.803,0.016,-42.175,-37.292,-73.608,0
-0.437,0.820,-0.051,-37.598,-34.546,-83.435,0
-0.391,0.831,-0.069,-30.640,-45.410,-83.923,0
-0.391,0.779,-0.091,-24.597,-56.091,-87.463,0
-0.278,0.787,-0.127,-19.592,-44.861,-99.060,0
-0.210,0.802,-0.158,-18.372,-39.734,-104.492,0
-1.269,0.958,0.334,-4.272,-19.531,74.097,0
-1.299,0.941,0.304,-4.395,-27.954,59.692,0
-1.308,0.919,0.308,-4.272,-40.466,42.786,0
-1.314,0.843,0.299,-8.728,-41.748,20.813,0
-1.283,0.828,0.244,-20.081,-42.053,6.042,0
-1.170,0.825,0.139,-26.184,-46.326,-21.667,0
-1.075,0.801,0.055,-26.794,-36.621,-43.457,0
-0.949,0.784,0.044,-21.790,-34.790,-64.758,0
-0.791,0.764,0.049,-20.325,-36.804,-82.031,0
-0.653,0.739,0.032,-21.179,-37.170,-94.116,0
-0.505,0.739,0.003,-21.973,-38.818,-103.271,0
-0.380,0.738,-0.036,-21.545,-39.429,-108.948,0
-0.314,0.746,-0.064,-19.531,-49.133,-111.206,0
-0.214,0.743,-0.100,-17.639,-54.993,-114.807,0
